date,product,units_sold,unit_price
2025-05-28,Notebooks,44,2.5
2025-05-28,Pencils,85,0.5
2025-05-28,Backpacks,18,35.0
2025-05-28,Calculators,14,18.0
2025-05-28,Pencil Cases,31,8.0
2025-05-29,Notebooks,21,2.5
2025-05-29,Pencils,54,0.5
2025-05-29,Backpacks,12,35.0
2025-05-29,Calculators,10,18.0
2025-05-29,Pencil Cases,28,8.0
2025-05-30,Notebooks,32,2.5
2025-05-30,Pencils,83,0.5
2025-05-30,Backpacks,12,35.0
2025-05-30,Calculators,8,18.0
2025-05-30,Pencil Cases,16,8.0
2025-05-31,Notebooks,30,2.5
2025-05-31,Pencils,52,0.5
2025-05-31,Backpacks,11,35.0
2025-05-31,Calculators,12,18.0
2025-05-31,Pencil Cases,19,8.0
2025-06-01,Notebooks,66,2.5
2025-06-01,Pencils,89,0.5
2025-06-01,Backpacks,15,35.0
2025-06-01,Calculators,7,18.0
2025-06-01,Pencil Cases,29,8.0
2025-06-02,Notebooks,34,2.5
2025-06-02,Pencils,82,0.5
2025-06-02,Backpacks,24,35.0
2025-06-02,Calculators,9,18.0
2025-06-02,Pencil Cases,32,8.0
2025-06-03,Notebooks,32,2.5
2025-06-03,Pencils,79,0.5
2025-06-03,Backpacks,21,35.0
2025-06-03,Calculators,8,18.0
2025-06-03,Pencil Cases,36,8.0
2025-06-04,Notebooks,47,2.5
2025-06-04,Pencils,68,0.5
2025-06-04,Backpacks,17,35.0
2025-06-04,Calculators,12,18.0
2025-06-04,Pencil Cases,28,8.0
2025-06-05,Notebooks,24,2.5
2025-06-05,Pencils,65,0.5
2025-06-05,Backpacks,14,35.0
2025-06-05,Calculators,9,18.0
2025-06-05,Pencil Cases,28,8.0
2025-06-06,Notebooks,41,2.5
2025-06-06,Pencils,53,0.5
2025-06-06,Backpacks,16,35.0
2025-06-06,Calculators,11,18.0
2025-06-06,Pencil Cases,28,8.0
2025-06-07,Notebooks,50,2.5
2025-06-07,Pencils,96,0.5
2025-06-07,Backpacks,16,35.0
2025-06-07,Calculators,9,18.0
2025-06-07,Pencil Cases,14,8.0
2025-06-08,Notebooks,44,2.5
2025-06-08,Pencils,84,0.5
2025-06-08,Backpacks,16,35.0
2025-06-08,Calculators,6,18.0
2025-06-08,Pencil Cases,18,8.0
2025-06-09,Notebooks,50,2.5
2025-06-09,Pencils,79,0.5
2025-06-09,Backpacks,17,35.0
2025-06-09,Calculators,10,18.0
2025-06-09,Pencil Cases,25,8.0
2025-06-10,Notebooks,49,2.5
2025-06-10,Pencils,69,0.5
2025-06-10,Backpacks,15,35.0
2025-06-10,Calculators,8,18.0
2025-06-10,Pencil Cases,22,8.0
2025-06-11,Notebooks,36,2.5
2025-06-11,Pencils,84,0.5
2025-06-11,Backpacks,13,35.0
2025-06-11,Calculators,13,18.0
2025-06-11,Pencil Cases,19,8.0
2025-06-12,Notebooks,38,2.5
2025-06-12,Pencils,71,0.5
2025-06-12,Backpacks,20,35.0
2025-06-12,Calculators,10,18.0
2025-06-12,Pencil Cases,31,8.0
2025-06-13,Notebooks,25,2.5
2025-06-13,Pencils,85,0.5
2025-06-13,Backpacks,18,35.0
2025-06-13,Calculators,10,18.0
2025-06-13,Pencil Cases,31,8.0
2025-06-14,Notebooks,34,2.5
2025-06-14,Pencils,108,0.5
2025-06-14,Backpacks,23,35.0
2025-06-14,Calculators,9,18.0
2025-06-14,Pencil Cases,22,8.0
2025-06-15,Notebooks,54,2.5
2025-06-15,Pencils,111,0.5
2025-06-15,Backpacks,13,35.0
2025-06-15,Calculators,8,18.0
2025-06-15,Pencil Cases,23,8.0
2025-06-16,Notebooks,26,2.5
2025-06-16,Pencils,61,0.5
2025-06-16,Backpacks,11,35.0
2025-06-16,Calculators,8,18.0
2025-06-16,Pencil Cases,24,8.0
2025-06-17,Notebooks,42,2.5
2025-06-17,Pencils,111,0.5
2025-06-17,Backpacks,11,35.0
2025-06-17,Calculators,12,18.0
2025-06-17,Pencil Cases,23,8.0
2025-06-18,Notebooks,39,2.5
2025-06-18,Pencils,93,0.5
2025-06-18,Backpacks,10,35.0
2025-06-18,Calculators,10,18.0
2025-06-18,Pencil Cases,26,8.0
2025-06-19,Notebooks,44,2.5
2025-06-19,Pencils,85,0.5
2025-06-19,Backpacks,24,35.0
2025-06-19,Calculators,8,18.0
2025-06-19,Pencil Cases,21,8.0
2025-06-20,Notebooks,33,2.5
2025-06-20,Pencils,68,0.5
2025-06-20,Backpacks,12,35.0
2025-06-20,Calculators,12,18.0
2025-06-20,Pencil Cases,33,8.0
2025-06-21,Notebooks,34,2.5
2025-06-21,Pencils,63,0.5
2025-06-21,Backpacks,16,35.0
2025-06-21,Calculators,8,18.0
2025-06-21,Pencil Cases,28,8.0
2025-06-22,Notebooks,42,2.5
2025-06-22,Pencils,49,0.5
2025-06-22,Backpacks,20,35.0
2025-06-22,Calculators,14,18.0
2025-06-22,Pencil Cases,21,8.0
2025-06-23,Notebooks,36,2.5
2025-06-23,Pencils,85,0.5
2025-06-23,Backpacks,16,35.0
2025-06-23,Calculators,11,18.0
2025-06-23,Pencil Cases,37,8.0
2025-06-24,Notebooks,38,2.5
2025-06-24,Pencils,64,0.5
2025-06-24,Backpacks,9,35.0
2025-06-24,Calculators,8,18.0
2025-06-24,Pencil Cases,24,8.0
2025-06-25,Notebooks,57,2.5
2025-06-25,Pencils,69,0.5
2025-06-25,Backpacks,15,35.0
2025-06-25,Calculators,9,18.0
2025-06-25,Pencil Cases,32,8.0
2025-06-26,Notebooks,65,2.5
2025-06-26,Pencils,69,0.5
2025-06-26,Backpacks,13,35.0
2025-06-26,Calculators,12,18.0
2025-06-26,Pencil Cases,29,8.0
2025-06-27,Notebooks,58,2.5
2025-06-27,Pencils,91,0.5
2025-06-27,Backpacks,13,35.0
2025-06-27,Calculators,11,18.0
2025-06-27,Pencil Cases,31,8.0
2025-06-28,Notebooks,48,2.5
2025-06-28,Pencils,90,0.5
2025-06-28,Backpacks,19,35.0
2025-06-28,Calculators,12,18.0
2025-06-28,Pencil Cases,33,8.0
2025-06-29,Notebooks,46,2.5
2025-06-29,Pencils,76,0.5
2025-06-29,Backpacks,15,35.0
2025-06-29,Calculators,13,18.0
2025-06-29,Pencil Cases,19,8.0
